# Etrue_lo Etrue_hi Ereco_lo Ereco_hi P(Ereco|Etrue)
2.81838293e+04 3.98107171e+04 2.51188643e+06 3.54813389e+06 0.00000000e+00
2.81838293e+04 3.98107171e+04 3.54813389e+06 5.01187234e+06 0.00000000e+00
2.81838293e+04 3.98107171e+04 5.01187234e+06 7.07945784e+06 0.00000000e+00
2.81838293e+04 3.98107171e+04 7.07945784e+06 1.00000000e+07 0.00000000e+00
3.98107171e+04 5.62341325e+04 1.00000000e+04 1.41253754e+04 2.10851146e-05
3.98107171e+04 5.62341325e+04 1.41253754e+04 1.99526231e+04 3.73634008e-03
3.98107171e+04 5.62341325e+04 1.99526231e+04 2.81838293e+04 3.75062346e-02
3.98107171e+04 5.62341325e+04 2.81838293e+04 3.98107171e+04 2.02376557e-01
3.98107171e+04 5.62341325e+04 3.98107171e+04 5.62341325e+04 6.18867850e-01
3.98107171e+04 5.62341325e+04 5.62341325e+04 7.94328235e+04 1.36967717e-01
3.98107171e+04 5.62341325e+04 7.94328235e+04 1.12201845e+05 2.94354102e-04
3.98107171e+04 5.62341325e+04 1.12201845e+05 1.58489319e+05 1.56352470e-04
3.98107171e+04 5.62341325e+04 1.58489319e+05 2.23872114e+05 7.35092429e-05
3.98107171e+04 5.62341325e+04 2.23872114e+05 3.16227766e+05 0.00000000e+00
3.98107171e+04 5.62341325e+04 3.16227766e+05 4.46683592e+05 0.00000000e+00
3.98107171e+04 5.62341325e+04 4.46683592e+05 6.30957344e+05 0.00000000e+00
3.98107171e+04 5.62341325e+04 6.30957344e+05 8.91250938e+05 0.00000000e+00
3.98107171e+04 5.62341325e+04 8.91250938e+05 1.25892541e+06 0.00000000e+00
3.98107171e+04 5.62341325e+04 1.25892541e+06 1.77827941e+06 0.00000000e+00
3.98107171e+04 5.62341325e+04 1.77827941e+06 2.51188643e+06 0.00000000e+00
3.98107171e+04 5.62341325e+04 2.51188643e+06 3.54813389e+06 0.00000000e+00
3.98107171e+04 5.62341325e+04 3.54813389e+06 5.01187234e+06 0.00000000e+00
3.98107171e+04 5.62341325e+04 5.01187234e+06 7.07945784e+06 0.00000000e+00
3.98107171e+04 5.62341325e+04 7.07945784e+06 1.00000000e+07 0.00000000e+00
5.62341325e+04 7.94328235e+04 1.00000000e+04 1.41253754e+04 4.02054796e-05
5.62341325e+04 7.94328235e+04 1.41253754e+04 1.99526231e+04 1.28434000e-03
5.62341325e+04 7.94328235e+04 1.99526231e+04 2.81838293e+04 1.23215868e-02
5.62341325e+04 7.94328235e+04 2.81838293e+04 3.98107171e+04 5.54598574e-02
5.62341325e+04 7.94328235e+04 3.98107171e+04 5.62341325e+04 2.03656171e-01
5.62341325e+04 7.94328235e+04 5.62341325e+04 7.94328235e+04 6.03501555e-01
5.62341325e+04 7.94328235e+04 7.94328235e+04 1.12201845e+05 1.23163288e-01
5.62341325e+04 7.94328235e+04 1.12201845e+05 1.58489319e+05 4.11722689e-04
5.62341325e+04 7.94328235e+04 1.58489319e+05 2.23872114e+05 7.41850957e-05
5.62341325e+04 7.94328235e+04 2.23872114e+05 3.16227766e+05 8.70878721e-05
5.62341325e+04 7.94328235e+04 3.16227766e+05 4.46683592e+05 0.00000000e+00
5.62341325e+04 7.94328235e+04 4.46683592e+05 6.30957344e+05 0.00000000e+00
