prior_type,phi_mult,phi_true,gamma_true,seed,gamma_post_mean,gamma_ci_lo,gamma_ci_hi,gamma_ci_width,gamma_bias,gamma_covered_90,accept_rate,rhat_max,n_events
flat,3.0,6.18e-18,2.9,1,3.3428183266016145,2.751079262296246,3.918664581343589,1.167585319047343,0.4428183266016146,1.0,0.6015916666666667,1.1182688904122708,1351
flat,3.0,6.18e-18,2.9,2,3.3865137010131554,2.8191387128731016,3.821402647262637,1.0022639343895352,0.4865137010131555,1.0,0.5995833333333332,1.2924914538846224,1402
flat,3.0,6.18e-18,2.9,3,3.419108288457104,2.7689547202630207,4.059084902988261,1.2901301827252407,0.5191082884571037,1.0,0.576725,1.0571136464240438,1369
flat,3.0,6.18e-18,2.9,4,3.296351866756928,2.736589477041923,3.879549804039256,1.1429603269973327,0.3963518667569277,1.0,0.5978583333333334,1.395263503829392,1412
lognormal_gamma,0.3,6.179999999999999e-19,2.1,0,2.0764839928461947,1.7917118162772268,2.3532043476951965,0.5614925314179697,-0.0235160071538054,1.0,0.5847166666666667,1.0770546022755487,973
lognormal_gamma,0.3,6.179999999999999e-19,2.1,1,2.3229911974183617,1.9851750829564463,2.6533295743518983,0.668154491395452,0.2229911974183616,1.0,0.628425,1.3047688864179912,985
lognormal_gamma,0.3,6.179999999999999e-19,2.1,2,2.198683900566065,1.8543490089129568,2.5365304139690354,0.6821814050560788,0.0986839005660651,1.0,0.6349916666666667,1.4685072980738183,1033
lognormal_gamma,0.3,6.179999999999999e-19,2.1,3,2.6928927072923945,2.158268028101721,3.874089856382205,1.7158218282804834,0.5928927072923944,0.0,0.6122333333333333,1.2455514018914942,995
lognormal_gamma,0.3,6.179999999999999e-19,2.1,4,2.3300742302959665,1.8767814933515248,3.069576290452459,1.1927947971009345,0.2300742302959664,1.0,0.61585,1.1283264533921196,971
lognormal_gamma,0.3,6.179999999999999e-19,2.3,0,2.430907270527566,1.991605288754846,3.309479536410155,1.317874247655309,0.1309072705275662,1.0,0.6075333333333333,1.1945510127625378,959
lognormal_gamma,0.3,6.179999999999999e-19,2.3,1,2.602911581156791,2.103263055305501,3.31006042111792,1.206797365812419,0.302911581156791,1.0,0.5949583333333334,1.083870584409257,977
lognormal_gamma,0.3,6.179999999999999e-19,2.3,2,2.390765704331696,1.9026743980859808,3.374806539549057,1.472132141463076,0.0907657043316962,1.0,0.6241,1.149773961660605,1014
lognormal_gamma,0.3,6.179999999999999e-19,2.3,3,2.957206967718198,2.291402615277526,3.903042091966572,1.6116394766890465,0.657206967718198,1.0,0.622425,1.0850484593615126,983
lognormal_gamma,0.3,6.179999999999999e-19,2.3,4,2.7627610778325526,2.1079744588207343,3.703733961710036,1.5957595028893017,0.4627610778325528,1.0,0.6525416666666667,1.2578345230868724,961
lognormal_gamma,0.3,6.179999999999999e-19,2.5,0,2.6973017681666867,2.2551652993516758,3.644184560875898,1.389019261524223,0.1973017681666866,1.0,0.9928125,2.679181938782086,950
lognormal_gamma,0.3,6.179999999999999e-19,2.5,1,2.770018643055171,2.3937014626293904,3.257641575166028,0.8639401125366377,0.2700186430551712,1.0,0.99475,2.8020762542632465,969
lognormal_gamma,0.3,6.179999999999999e-19,2.5,2,2.5696783788460964,2.254907850452571,2.9152966786890766,0.6603888282365058,0.0696783788460964,1.0,0.992625,2.5293226094394643,1003
